Year,Month,Season,district_c,Unnamed: 0,Arrivals,Present
2011,6.0,Summer,6,1196788,58241,254166
2011,6.0,Summer,7,887253,44580,175450
2011,6.0,Summer,8,407130,22620,78821
2011,7.0,Summer,1,70575,28728,60087
2011,7.0,Summer,2,1814607,161915,927873
2011,7.0,Summer,3,879216,71816,347655
2011,7.0,Summer,4,1881450,232449,1294477
2011,7.0,Summer,5,946335,117069,694425
2011,7.0,Summer,6,1292910,65027,309457
2011,7.0,Summer,7,940299,69446,315531
2011,7.0,Summer,8,431598,34742,151402
2011,8.0,Summer,1,74685,29250,67759
2011,8.0,Summer,2,1904364,181725,1140831
2011,8.0,Summer,3,929159,77358,451653
2011,8.0,Summer,4,1988148,251278,1698882
2011,8.0,Summer,5,999663,129911,902128
2011,8.0,Summer,6,1354150,69932,390160
2011,8.0,Summer,7,993657,79218,417805
2011,8.0,Summer,8,456228,40104,209548
2011,9.0,Autumn,1,78771,30374,68467
2011,9.0,Autumn,2,2005583,159232,950619
2011,9.0,Autumn,3,992559,60439,265550
2011,9.0,Autumn,4,2094318,126568,629679
2011,9.0,Autumn,5,1052721,81237,440435
2011,9.0,Autumn,6,1387639,65871,306104
2011,9.0,Autumn,7,1046715,55482,237104
2011,9.0,Autumn,8,480714,28729,102895
2011,10.0,Autumn,1,82869,25613,58778
2011,10.0,Autumn,2,2049871,153590,794657
2011,10.0,Autumn,3,1042761,53572,205437
2011,10.0,Autumn,4,2100823,63332,243751
2011,10.0,Autumn,5,1091414,48269,216193
2011,10.0,Autumn,6,1499908,52199,217456
2011,10.0,Autumn,7,1085624,36821,146360
2011,10.0,Autumn,8,505146,24504,78669
2011,11.0,Autumn,1,86859,17282,36581
2011,11.0,Autumn,2,1845923,34870,144926
2011,11.0,Autumn,3,1045465,15104,46593
2011,11.0,Autumn,4,1944448,14208,46126
2011,11.0,Autumn,5,1021500,10494,39104
2011,11.0,Autumn,6,1393606,13691,47724
2011,11.0,Autumn,7,1002099,10337,38593
2011,11.0,Autumn,8,499000,9167,25311
2011,12.0,Winter,1,90465,25451,53589
2011,12.0,Winter,2,1999892,62529,188873
2011,12.0,Winter,3,1120374,47714,158220
2011,12.0,Winter,4,2318219,176379,725920
2011,12.0,Winter,5,1172373,89268,371474
2011,12.0,Winter,6,1389717,21979,62604
2011,12.0,Winter,7,1136031,25209,103368
2011,12.0,Winter,8,535211,33220,107251
2012,1.0,Winter,1,94287,15956,35339
2012,1.0,Winter,2,2115014,28292,139518
2012,1.0,Winter,3,1134666,49237,227539
2012,1.0,Winter,4,2446476,233386,1262432
2012,1.0,Winter,5,1220560,117400,689947
2012,1.0,Winter,6,1447522,11906,50144
2012,1.0,Winter,7,1183391,29175,161798
2012,1.0,Winter,8,557471,30999,128614
2012,2.0,Winter,1,98115,11915,24610
2012,2.0,Winter,2,1914463,23585,108431
2012,2.0,Winter,3,1195959,52293,243916
2012,2.0,Winter,4,2592600,223663,1228904
2012,2.0,Winter,5,1185711,120026,704964
2012,2.0,Winter,6,1471848,8796,42744
2012,2.0,Winter,7,1262850,35496,191160
2012,2.0,Winter,8,563139,32427,139577
2012,3.0,Spring,1,101829,16208,32808
2012,3.0,Spring,2,2263755,41430,157239
2012,3.0,Spring,3,1240970,36707,150696
2012,3.0,Spring,4,2674120,151746,784274
2012,3.0,Spring,5,1282256,84112,474035
2012,3.0,Spring,6,1700886,15896,58968
2012,3.0,Spring,7,1294042,36552,170989
2012,3.0,Spring,8,601598,26152,92985
2012,4.0,Spring,1,105717,20574,49584
2012,4.0,Spring,2,2547970,124511,614276
2012,4.0,Spring,3,1324539,28252,109999
2012,4.0,Spring,4,2703719,43551,244851
2012,4.0,Spring,5,1384632,24276,134983
2012,4.0,Spring,6,1818915,42269,169066
2012,4.0,Spring,7,1396665,31624,156094
2012,4.0,Spring,8,642240,15621,56274
2012,5.0,Spring,1,109719,24354,54541
2012,5.0,Spring,2,2717382,128050,684217
2012,5.0,Spring,3,1355322,39647,143166
2012,5.0,Spring,4,2749093,41380,148379
2012,5.0,Spring,5,1436029,33170,124108
2012,5.0,Spring,6,1942108,53370,206461
2012,5.0,Spring,7,1448739,26877,96767
2012,5.0,Spring,8,666276,17550,50721
2012,6.0,Summer,1,113745,23725,53110
2012,6.0,Summer,2,2835092,133623,738992
2012,6.0,Summer,3,1404388,51590,213589
2012,6.0,Summer,4,2945328,122093,473040
2012,6.0,Summer,5,1507125,75244,339845
2012,6.0,Summer,6,2031516,53447,233439
2012,6.0,Summer,7,1501185,43172,163247
2012,6.0,Summer,8,690486,22454,72444
2012,7.0,Summer,1,117807,28484,57414
2012,7.0,Summer,2,2955018,160320,949220
2012,7.0,Summer,3,1473959,72559,365961
2012,7.0,Summer,4,3109128,217172,1251494
2012,7.0,Summer,5,1560135,113271,690173
2012,7.0,Summer,6,2103415,63581,318699
2012,7.0,Summer,7,1554135,69984,320710
2012,7.0,Summer,8,714912,34850,142664
2012,8.0,Summer,1,121899,28962,64431
2012,8.0,Summer,2,3055862,184549,1125907
2012,8.0,Summer,3,1524411,83354,461024
2012,8.0,Summer,4,3153525,270683,1752195
2012,8.0,Summer,5,1613265,143916,935203
2012,8.0,Summer,6,2196019,73207,390873
2012,8.0,Summer,7,1607307,82629,417614
2012,8.0,Summer,8,739452,41566,214380
2012,9.0,Autumn,1,125973,29293,60566
2012,9.0,Autumn,2,3113860,171788,949528
2012,9.0,Autumn,3,1574671,65298,280084
2012,9.0,Autumn,4,3321438,143565,669367
2012,9.0,Autumn,5,1666269,90667,463080
2012,9.0,Autumn,6,2247722,66302,301614
2012,9.0,Autumn,7,1660293,53773,232779
2012,9.0,Autumn,8,763914,30736,104065
2012,10.0,Autumn,1,130047,22550,51821
2012,10.0,Autumn,2,3190097,140085,781655
2012,10.0,Autumn,3,1602538,48951,199403
2012,10.0,Autumn,4,3338754,56132,237054
2012,10.0,Autumn,5,1718817,48956,229756
2012,10.0,Autumn,6,2232149,50751,216498
2012,10.0,Autumn,7,1712919,32515,141188
2012,10.0,Autumn,8,788214,21498,75759
2012,11.0,Autumn,1,134043,17477,32697
2012,11.0,Autumn,2,3009551,42495,152774
2012,11.0,Autumn,3,1536712,15792,45823
2012,11.0,Autumn,4,2982989,20577,60878
2012,11.0,Autumn,5,1632477,13283,42574
2012,11.0,Autumn,6,2096070,14312,47180
2012,11.0,Autumn,7,1582181,12652,43716
2012,11.0,Autumn,8,766473,11223,28064
2012,12.0,Winter,1,137715,25569,50523
2012,12.0,Winter,2,2977480,62609,192684
2012,12.0,Winter,3,1695050,49882,167145
2012,12.0,Winter,4,3530983,185492,771548
2012,12.0,Winter,5,1794115,95403,396719
2012,12.0,Winter,6,2198710,19804,60113
2012,12.0,Winter,7,1742136,27178,111562
2012,12.0,Winter,8,833940,35644,120581
2013,1.0,Winter,1,141573,14672,28791
2013,1.0,Winter,2,2987429,25254,124049
2013,1.0,Winter,3,1765569,43736,210737
2013,1.0,Winter,4,3699925,206587,1161367
2013,1.0,Winter,5,1867059,103914,638751
2013,1.0,Winter,6,2211585,8819,42068
2013,1.0,Winter,7,1694946,24714,145922
2013,1.0,Winter,8,833282,28489,125337
2013,2.0,Winter,1,145377,11379,20259
2013,2.0,Winter,2,2869913,24709,111113
2013,2.0,Winter,3,1787886,54301,248567
2013,2.0,Winter,4,3798056,229680,1222990
2013,2.0,Winter,5,1818900,126310,712381
2013,2.0,Winter,6,2271132,10138,45146
2013,2.0,Winter,7,1861878,35321,190659
2013,2.0,Winter,8,855471,33624,142050
2013,3.0,Spring,1,149157,18348,34238
2013,3.0,Spring,2,3398757,62587,258203
2013,3.0,Spring,3,1835152,45329,187683
2013,3.0,Spring,4,3897778,182257,914632
2013,3.0,Spring,5,1941834,106823,572094
2013,3.0,Spring,6,2531488,19520,72675
2013,3.0,Spring,7,1910415,41362,200603
2013,3.0,Spring,8,877868,30565,113397
2013,4.0,Spring,1,153093,18197,38596
2013,4.0,Spring,2,3668939,92843,462489
2013,4.0,Spring,3,1882767,19790,72506
2013,4.0,Spring,4,3999679,22172,130368
2013,4.0,Spring,5,1914738,11730,64665
2013,4.0,Spring,6,2521900,30343,113618
2013,4.0,Spring,7,2012373,21254,101004
2013,4.0,Spring,8,926442,13159,38066
2013,5.0,Spring,1,157089,25578,55015
2013,5.0,Spring,2,3870044,144871,758981
2013,5.0,Spring,3,1931481,41086,157387
2013,5.0,Spring,4,3917428,41011,152869
2013,5.0,Spring,5,2043731,31876,128663
2013,5.0,Spring,6,2744430,56021,226678
2013,5.0,Spring,7,2064339,30448,112054
2013,5.0,Spring,8,950412,21414,64309
2013,6.0,Summer,1,161103,24596,47794
2013,6.0,Summer,2,3968203,125624,681315
2013,6.0,Summer,3,1980473,49416,198285
2013,6.0,Summer,4,4152624,112017,435289
2013,6.0,Summer,5,2122605,71647,314018
2013,6.0,Summer,6,2813694,50225,210710
2013,6.0,Summer,7,2116713,36401,134011
2013,6.0,Summer,8,974586,21319,67519
2013,7.0,Summer,1,165147,29287,61120
2013,7.0,Summer,2,4150575,155791,931628
2013,7.0,Summer,3,2057863,70392,352483
2013,7.0,Summer,4,4340070,219067,1238680
2013,7.0,Summer,5,2175609,107459,658065
2013,7.0,Summer,6,2939808,62028,309867
2013,7.0,Summer,7,2169603,68975,310266
2013,7.0,Summer,8,998970,38116,148843
2013,8.0,Summer,1,169239,29943,65591
2013,8.0,Summer,2,4223730,197069,1150322
2013,8.0,Summer,3,2108323,87341,470816
2013,8.0,Summer,4,4417940,284591,1770899
2013,8.0,Summer,5,2228781,147997,932493
2013,8.0,Summer,6,3012129,76760,391310
2013,8.0,Summer,7,2222793,87485,423399
2013,8.0,Summer,8,1023522,45077,215708
2013,9.0,Autumn,1,173325,30476,64528
