Year,Month,Season,district_c,District,Arrivals,Present
2019,11.0,Autumn,2,Burggrafenamt,54588.0,163525.0093472929
2019,11.0,Autumn,3,Eisacktal,13605.0,33902.30429144652
2019,11.0,Autumn,4,Pustertal,62883.0,174492.2564777167
2019,11.0,Autumn,5,Salten-Schlern,22499.0,65556.26245396088
2019,11.0,Autumn,6,Uberetsch-Unterland,12569.0,37398.17577113614
2019,11.0,Autumn,7,Vinschgau,9701.0,28782.21890197668
2019,11.0,Autumn,8,Wipptal,12876.0,40958.979502255956
2019,12.0,Winter,1,Bozen,32176.0,70508.45576806868
2019,12.0,Winter,2,Burggrafenamt,120179.0,517602.4113141064
2019,12.0,Winter,3,Eisacktal,34816.0,137028.33929606748
2019,12.0,Winter,4,Pustertal,261746.0,1346535.1056067261
2019,12.0,Winter,5,Salten-Schlern,107920.0,548889.2198054977
2019,12.0,Winter,6,Uberetsch-Unterland,17615.0,56022.82735462297
2019,12.0,Winter,7,Vinschgau,23116.0,105261.0453833437
2019,12.0,Winter,8,Wipptal,33486.0,147342.53209535757
