istat_code,muni_ge,muni_it,district_ge,district_it,district_c
21045,Margreid an der Weinstrasse,Magrè sulla strada del vino,Uberetsch-Unterland,Oltradige-Bassa Ates.,6
21053,Montan,Montagna,Uberetsch-Unterland,Oltradige-Bassa Ates.,6
21060,Auer,Ora,Uberetsch-Unterland,Oltradige-Bassa Ates.,6
21076,Salurn,Salorno,Uberetsch-Unterland,Oltradige-Bassa Ates.,6
21097,Terlan,Terlano,Uberetsch-Unterland,Oltradige-Bassa Ates.,6
21098,Tramin an der Weinstrasse,Termeno sulla strada del vino,Uberetsch-Unterland,Oltradige-Bassa Ates.,6
21102,Truden,Trodena,Uberetsch-Unterland,Oltradige-Bassa Ates.,6
21105,Pfatten,Vadena,Uberetsch-Unterland,Oltradige-Bassa Ates.,6
21018,Kastelbell -Tschars,Castelbello - Ciardes,Vinschgau,Val Venosta,7
21027,Graun im Vinschgau,Curon Venosta,Vinschgau,Val Venosta,7
21036,Glurns,Glorenza,Vinschgau,Val Venosta,7
21037,Latsch,Laces,Vinschgau,Val Venosta,7
21042,Laas,Lasa,Vinschgau,Val Venosta,7
21046,Mals,Malles Venosta,Vinschgau,Val Venosta,7
21049,Martell,Martello,Vinschgau,Val Venosta,7
21067,Prad am Stilfserjoch,Prato allo Stelvio,Vinschgau,Val Venosta,7
21091,Schnals,Senales,Vinschgau,Val Venosta,7
21093,Schlanders,Silandro,Vinschgau,Val Venosta,7
21094,Schluderns,Sluderno,Vinschgau,Val Venosta,7
21095,Stilfs,Stelvio,Vinschgau,Val Venosta,7
21103,Taufers,Tubre,Vinschgau,Val Venosta,7
21010,Brenner,Brennero,Wipptal,Alta Valle Isarco,8
21016,Freienfeld,Campo di Trens,Wipptal,Alta Valle Isarco,8
21032,Franzensfeste,Fortezza,Wipptal,Alta Valle Isarco,8
21070,Ratschings,Racines,Wipptal,Alta Valle Isarco,8
21107,Pfitsch,Val di Vizze,Wipptal,Alta Valle Isarco,8
21115,Sterzing,Vipiteno,Wipptal,Alta Valle Isarco,8
