Year,district_c,District,Month,Austria,Benelux countries,Germany,Italy,Other countries,Switzerland and Liechtenstein,Arrivals
2017,5,Salten-Schlern,78.0,34297.0,44377.0,415339.0,457827.0,142995.0,36222.0,1131057.0
2017,6,Uberetsch-Unterland,78.0,48195.0,15840.0,318043.0,106025.0,30927.0,32609.0,551639.0
2017,7,Vinschgau,78.0,25531.0,25631.0,289993.0,127127.0,39200.0,52667.0,560149.0
2017,8,Wipptal,78.0,15210.0,13582.0,188322.0,152555.0,22792.0,8980.0,401441.0
2018,1,Bozen,78.0,26966.0,6972.0,91061.0,136163.0,64707.0,12006.0,337875.0
2018,2,Burggrafenamt,78.0,97390.0,29506.0,902129.0,278423.0,54102.0,157564.0,1519114.0
2018,3,Eisacktal,78.0,36656.0,19026.0,392199.0,221886.0,60176.0,22969.0,752912.0
2018,4,Pustertal,78.0,72371.0,59545.0,649001.0,1095133.0,257676.0,45110.0,2178836.0
2018,5,Salten-Schlern,78.0,37112.0,49937.0,433791.0,459293.0,159673.0,37300.0,1177106.0
2018,6,Uberetsch-Unterland,78.0,48866.0,14001.0,319435.0,110346.0,34016.0,34063.0,560727.0
2018,7,Vinschgau,78.0,27769.0,25182.0,295477.0,128130.0,40117.0,54264.0,570939.0
2018,8,Wipptal,78.0,16215.0,13700.0,205947.0,153041.0,22960.0,10414.0,422277.0
2019,1,Bozen,78.0,27013.0,7320.0,93151.0,133168.0,70597.0,12528.0,343777.0
2019,2,Burggrafenamt,78.0,98532.0,30574.0,925816.0,279902.0,59390.0,154779.0,1548993.0
2019,3,Eisacktal,78.0,40527.0,20535.0,394491.0,224579.0,71550.0,23167.0,774849.0
2019,4,Pustertal,78.0,77610.0,64017.0,665838.0,1098285.0,292510.0,48850.0,2247110.0
2019,5,Salten-Schlern,78.0,39170.0,50229.0,435427.0,455565.0,184768.0,38314.0,1203473.0
2019,6,Uberetsch-Unterland,78.0,51398.0,14249.0,321951.0,110727.0,35636.0,33689.0,567650.0
2019,7,Vinschgau,78.0,27955.0,25914.0,305905.0,130511.0,43480.0,56317.0,590082.0
2019,8,Wipptal,78.0,17075.0,12502.0,215141.0,148457.0,23875.0,11328.0,428378.0
2020,1,Bozen,78.0,8154.0,3817.0,41502.0,72013.0,14693.0,5216.0,145395.0
2020,2,Burggrafenamt,78.0,39491.0,16458.0,458296.0,194703.0,18006.0,80867.0,807821.0
2020,3,Eisacktal,78.0,15660.0,12466.0,206166.0,178860.0,27158.0,14150.0,454460.0
2020,4,Pustertal,78.0,40377.0,39060.0,379600.0,891765.0,140336.0,28460.0,1519598.0
2020,5,Salten-Schlern,78.0,17818.0,33783.0,251199.0,384553.0,81699.0,23165.0,792217.0
2020,6,Uberetsch-Unterland,78.0,18785.0,6690.0,159006.0,69830.0,10172.0,16474.0,280957.0
2020,7,Vinschgau,78.0,13756.0,12878.0,170061.0,123716.0,19209.0,34015.0,373635.0
2020,8,Wipptal,78.0,7947.0,7429.0,117061.0,102044.0,10258.0,6827.0,251566.0
