Year,Category,district_c,Arrivals,Present
2012,4-5 Star Hotel,4,418830,1985934
2012,4-5 Star Hotel,5,316011,1643064
2012,4-5 Star Hotel,6,73252,329095
2012,4-5 Star Hotel,7,88727,407456
2012,4-5 Star Hotel,8,111020,455346
2012,Agricaltural Lodging,1,1798,8181
2012,Agricaltural Lodging,2,61577,419376
2012,Agricaltural Lodging,3,39505,248310
2012,Agricaltural Lodging,4,98733,690835
2012,Agricaltural Lodging,5,47238,322696
2012,Agricaltural Lodging,6,48592,324127
2012,Agricaltural Lodging,7,24216,150290
2012,Agricaltural Lodging,8,8868,58462
2012,Campings,1,8015,36991
2012,Campings,2,53219,322769
2012,Campings,3,13267,31470
2012,Campings,4,75415,411062
2012,Campings,5,15096,83341
2012,Campings,6,30296,168803
2012,Campings,7,44976,221517
2012,Campings,8,8421,28056
2012,Other,1,13543,27562
2012,Other,2,21767,53425
2012,Other,3,32383,88245
2012,Other,4,59826,162954
2012,Other,5,12888,47956
2012,Other,6,3299,12830
2012,Other,7,19897,31958
2012,Other,8,7951,50455
2012,Private Lodging,1,633,6705
2012,Private Lodging,2,49202,324805
2012,Private Lodging,3,16586,97735
2012,Private Lodging,4,129301,863711
2012,Private Lodging,5,87556,594782
2012,Private Lodging,6,16532,116411
2012,Private Lodging,7,19223,117633
2012,Private Lodging,8,6760,40386
2012,Residence,2,88224,664555
2012,Residence,3,16487,153426
2012,Residence,4,156163,1031181
2012,Residence,5,66501,468981
2012,Residence,6,12464,143608
2012,Residence,7,49945,305360
2012,Residence,8,8969,66167
2013,1-2 Star Hotel,1,20162,43003
2013,1-2 Star Hotel,2,87815,429559
2013,1-2 Star Hotel,3,74336,346099
2013,1-2 Star Hotel,4,198319,1009093
2013,1-2 Star Hotel,5,60817,285062
2013,1-2 Star Hotel,6,42305,175283
2013,1-2 Star Hotel,7,50128,191042
2013,1-2 Star Hotel,8,47978,129693
2013,3 Star Hotel,1,92898,178321
2013,3 Star Hotel,2,463796,2229282
2013,3 Star Hotel,3,244890,988259
2013,3 Star Hotel,4,569514,2655135
2013,3 Star Hotel,5,343398,1719563
2013,3 Star Hotel,6,236583,791067
2013,3 Star Hotel,7,183546,760001
2013,3 Star Hotel,8,123848,392497
2013,4-5 Star Hotel,1,132862,255249
2013,4-5 Star Hotel,2,413565,2063405
2013,4-5 Star Hotel,3,156168,644468
2013,4-5 Star Hotel,4,415108,1945641
2013,4-5 Star Hotel,5,318237,1637316
2013,4-5 Star Hotel,6,73092,322160
2013,4-5 Star Hotel,7,89193,405199
2013,4-5 Star Hotel,8,118437,479385
2013,Agricaltural Lodging,1,2118,11251
2013,Agricaltural Lodging,2,61538,427686
2013,Agricaltural Lodging,3,40511,254930
2013,Agricaltural Lodging,4,98776,696194
2013,Agricaltural Lodging,5,46423,321841
2013,Agricaltural Lodging,6,47614,328416
2013,Agricaltural Lodging,7,23802,148436
2013,Agricaltural Lodging,8,9157,60222
2013,Campings,1,10084,39242
2013,Campings,2,57641,348765
2013,Campings,3,15613,30439
2013,Campings,4,78563,421057
2013,Campings,5,15993,81930
2013,Campings,6,31641,165622
2013,Campings,7,44588,207289
2013,Campings,8,8452,27274
2013,Other,1,13474,27273
2013,Other,2,20220,44853
2013,Other,3,32535,90101
2013,Other,4,57565,157516
2013,Other,5,12932,48204
2013,Other,6,3716,10790
2013,Other,7,17213,28603
2013,Other,8,8056,45627
2013,Private Lodging,1,1265,7992
2013,Private Lodging,2,48349,321409
