,Bozen,Burggrafenamt,Eisacktal,Pustertal,Salten-Schlern,Uberetsch-Unterland,Vinschgau,Wipptal
Bozen,0.9999999999999996,0.3136224311166562,0.26837031984367504,0.23037563610486894,0.19195404386441045,0.49286336934622194,0.09488439072762565,0.09092182619232314
Burggrafenamt,0.3136224311166562,0.9999999999999999,0.8120237386006111,0.8375297749419881,0.7842932238729177,0.8291083746734996,0.6799498474968789,0.4504927686675069
Eisacktal,0.26837031984367504,0.8120237386006111,1.0000000000000002,0.8364090515219677,0.81259570080636,0.824922413358041,0.8764148569891985,0.7924999756566234
Pustertal,0.23037563610486894,0.8375297749419881,0.8364090515219677,1.0,0.8898198683151854,0.6761414149120183,0.6983379624265452,0.5328667218193792
Salten-Schlern,0.19195404386441045,0.7842932238729177,0.81259570080636,0.8898198683151854,1.0000000000000002,0.6974558045586102,0.7214865139080398,0.5531111091870521
Uberetsch-Unterland,0.49286336934622194,0.8291083746734996,0.824922413358041,0.6761414149120183,0.6974558045586102,1.0000000000000007,0.7176448741281614,0.5405597088471089
Vinschgau,0.09488439072762565,0.6799498474968789,0.8764148569891985,0.6983379624265452,0.7214865139080398,0.7176448741281614,0.9999999999999998,0.8901243321889364
Wipptal,0.09092182619232314,0.4504927686675069,0.7924999756566234,0.5328667218193792,0.5531111091870521,0.5405597088471089,0.8901243321889364,1.0000000000000004
