Year,Month,District,Nationality,Arrivals,Present
2010,3.0,Alta Valle Isarco,Germany,17207,73339
2010,3.0,Alta Valle Isarco,Italy,6447,24002
2010,3.0,Alta Valle Isarco,Other countries,1040,5130
2010,3.0,Alta Valle Isarco,Switzerland and Liechtenstein,144,811
2010,3.0,Bolzano,Austria,1206,2071
2010,3.0,Bolzano,Benelux countries,166,329
2010,3.0,Bolzano,Germany,3463,6577
2010,3.0,Bolzano,Italy,8681,19124
2010,3.0,Bolzano,Other countries,2108,5563
2010,3.0,Bolzano,Switzerland and Liechtenstein,289,571
2010,3.0,Burggrafenamt,Austria,2705,9020
2010,3.0,Burggrafenamt,Benelux countries,265,1497
2010,3.0,Burggrafenamt,Germany,20767,94161
2010,3.0,Burggrafenamt,Italy,11863,42952
2010,3.0,Burggrafenamt,Other countries,1382,11104
2010,3.0,Burggrafenamt,Switzerland and Liechtenstein,2606,10592
2010,3.0,Oltradige-Bassa Ates.,Austria,733,1870
2010,3.0,Oltradige-Bassa Ates.,Benelux countries,226,1154
2010,3.0,Oltradige-Bassa Ates.,Germany,6062,24402
2010,3.0,Oltradige-Bassa Ates.,Italy,4936,18169
2010,3.0,Oltradige-Bassa Ates.,Other countries,1160,9369
2010,3.0,Oltradige-Bassa Ates.,Switzerland and Liechtenstein,461,2247
2010,3.0,Salto-Schiliar,Austria,2321,12435
2010,3.0,Salto-Schiliar,Benelux countries,4690,35066
2010,3.0,Salto-Schiliar,Germany,32004,206012
2010,3.0,Salto-Schiliar,Italy,35641,194754
2010,3.0,Salto-Schiliar,Other countries,14970,112293
2010,3.0,Salto-Schiliar,Switzerland and Liechtenstein,1056,6847
2010,3.0,Val Pusteria,Austria,4797,22514
2010,3.0,Val Pusteria,Benelux countries,4506,28827
2010,3.0,Val Pusteria,Germany,62860,387737
2010,3.0,Val Pusteria,Italy,63317,331571
2010,3.0,Val Pusteria,Other countries,18102,119057
2010,3.0,Val Pusteria,Switzerland and Liechtenstein,1239,6573
2010,3.0,Val Venosta,Austria,1206,4209
2010,3.0,Val Venosta,Benelux countries,541,3939
2010,3.0,Val Venosta,Germany,20173,114610
2010,3.0,Val Venosta,Italy,5287,21938
2010,3.0,Val Venosta,Other countries,2707,17215
2010,3.0,Val Venosta,Switzerland and Liechtenstein,1523,7971
2010,3.0,Valle Isarco,Austria,1266,3806
2010,3.0,Valle Isarco,Benelux countries,831,2968
2010,3.0,Valle Isarco,Germany,19154,94434
2010,3.0,Valle Isarco,Italy,10761,41647
2010,3.0,Valle Isarco,Other countries,4740,27059
2010,3.0,Valle Isarco,Switzerland and Liechtenstein,380,2421
2010,4.0,Alta Valle Isarco,Austria,524,1346
2010,4.0,Alta Valle Isarco,Benelux countries,216,828
2010,4.0,Alta Valle Isarco,Germany,7733,29901
2010,4.0,Alta Valle Isarco,Italy,5827,16627
2010,4.0,Alta Valle Isarco,Other countries,831,2627
2010,4.0,Alta Valle Isarco,Switzerland and Liechtenstein,446,1369
2010,4.0,Bolzano,Austria,1693,3520
2010,4.0,Bolzano,Benelux countries,312,501
2010,4.0,Bolzano,Germany,6199,14795
2010,4.0,Bolzano,Italy,7636,17493
2010,4.0,Bolzano,Other countries,2548,5977
2010,4.0,Bolzano,Switzerland and Liechtenstein,1055,2424
2010,4.0,Burggrafenamt,Austria,6987,21952
2010,4.0,Burggrafenamt,Benelux countries,719,5043
2010,4.0,Burggrafenamt,Germany,64578,365029
2010,4.0,Burggrafenamt,Italy,15526,52006
2010,4.0,Burggrafenamt,Other countries,2080,14123
2010,4.0,Burggrafenamt,Switzerland and Liechtenstein,14887,69360
2010,4.0,Oltradige-Bassa Ates.,Austria,2758,7799
2010,4.0,Oltradige-Bassa Ates.,Benelux countries,581,2338
2010,4.0,Oltradige-Bassa Ates.,Germany,20387,87337
2010,4.0,Oltradige-Bassa Ates.,Italy,6275,19350
2010,4.0,Oltradige-Bassa Ates.,Other countries,1307,7599
2010,4.0,Oltradige-Bassa Ates.,Switzerland and Liechtenstein,3322,13019
2010,4.0,Salto-Schiliar,Austria,602,2593
2010,4.0,Salto-Schiliar,Benelux countries,1159,7787
2010,4.0,Salto-Schiliar,Germany,8369,60801
2010,4.0,Salto-Schiliar,Italy,10415,46679
2010,4.0,Salto-Schiliar,Other countries,1214,9321
2010,4.0,Salto-Schiliar,Switzerland and Liechtenstein,662,2461
2010,4.0,Val Pusteria,Austria,1258,4045
2010,4.0,Val Pusteria,Benelux countries,5054,32205
2010,4.0,Val Pusteria,Germany,14321,107623
2010,4.0,Val Pusteria,Italy,22401,90146
2010,4.0,Val Pusteria,Other countries,1900,12252
2010,4.0,Val Pusteria,Switzerland and Liechtenstein,982,3830
2010,4.0,Val Venosta,Austria,1461,3753
2010,4.0,Val Venosta,Benelux countries,889,5212
2010,4.0,Val Venosta,Germany,14455,84470
2010,4.0,Val Venosta,Italy,6018,18762
