Year,Month,Nationality,Arrivals,Present
2019,4.0,Beneluxstaaten,9674,50160
2019,4.0,Deutschland,221685,1010612
2019,4.0,Italien,93814,252597
2019,4.0,Schweiz und Liechtenstein,37342,150681
2019,4.0,Österreich,25086,69424
2019,5.0,Andere Länder,30384,86474
2019,5.0,Beneluxstaaten,7953,28908
2019,5.0,Deutschland,225847,972559
2019,5.0,Italien,68106,160724
2019,5.0,Schweiz und Liechtenstein,38415,159665
2019,5.0,Österreich,37156,97025
2019,6.0,Andere Länder,75946,211358
2019,6.0,Beneluxstaaten,22402,88576
2019,6.0,Deutschland,423396,1983608
2019,6.0,Italien,163751,488832
2019,6.0,Schweiz und Liechtenstein,40982,170332
2019,6.0,Österreich,40668,119158
2019,7.0,Andere Länder,112595,353828
2019,7.0,Beneluxstaaten,50235,226843
2019,7.0,Deutschland,404844,2120669
2019,7.0,Italien,333487,1692346
2019,7.0,Schweiz und Liechtenstein,53805,242593
2019,7.0,Österreich,42471,134728
2019,8.0,Andere Länder,78549,248337
2019,8.0,Beneluxstaaten,31327,157559
2019,8.0,Deutschland,412066,2045110
2019,8.0,Italien,542683,3059869
2019,8.0,Schweiz und Liechtenstein,32944,135545
2019,8.0,Österreich,43056,131983
2019,9.0,Andere Länder,70312,197998
2019,9.0,Beneluxstaaten,15938,68293
2019,9.0,Deutschland,475318,2332588
2019,9.0,Italien,157209,555623
2019,9.0,Schweiz und Liechtenstein,53132,208551
2019,9.0,Österreich,51209,147864
2019,10.0,Andere Länder,35758,111515
2019,10.0,Beneluxstaaten,4257,18161
2019,10.0,Deutschland,360900,1734944
2019,10.0,Italien,106077,250184
2019,10.0,Schweiz und Liechtenstein,53362,244497
2019,10.0,Österreich,52257,137408
2019,11.0,Andere Länder,13220,45097
2019,11.0,Beneluxstaaten,869,3000
2019,11.0,Deutschland,41550,169447
2019,11.0,Italien,127537,284718
2019,11.0,Schweiz und Liechtenstein,8894,33562
2019,11.0,Österreich,17900,44192
2019,12.0,Andere Länder,66789,284246
2019,12.0,Beneluxstaaten,12703,66682
2019,12.0,Deutschland,160246,702219
2019,12.0,Italien,362276,1135185
2019,12.0,Schweiz und Liechtenstein,14767,55433
2019,12.0,Österreich,14273,38946
2020,1.0,Andere Länder,103421,597869
2020,1.0,Beneluxstaaten,14296,84005
2020,1.0,Deutschland,178830,1013876
2020,1.0,Italien,273661,1040835
2020,1.0,Schweiz und Liechtenstein,13418,71285
2020,1.0,Österreich,15146,51485
2020,2.0,Andere Länder,118310,658762
2020,2.0,Beneluxstaaten,42188,242438
2020,2.0,Deutschland,291245,1532497
2020,2.0,Italien,220533,784489
2020,2.0,Schweiz und Liechtenstein,18760,98386
2020,2.0,Österreich,22213,93816
2020,3.0,Andere Länder,7298,59979
2020,3.0,Beneluxstaaten,2271,18647
2020,3.0,Deutschland,32766,225717
2020,3.0,Italien,49539,219414
2020,3.0,Schweiz und Liechtenstein,2947,16890
2020,3.0,Österreich,3392,12862
2020,4.0,Andere Länder,130,5121
2020,4.0,Beneluxstaaten,3,89
2020,4.0,Deutschland,96,649
2020,4.0,Italien,1626,19277
2020,4.0,Schweiz und Liechtenstein,0,1
2020,4.0,Österreich,39,171
2020,5.0,Andere Länder,557,7257
2020,5.0,Beneluxstaaten,22,159
2020,5.0,Deutschland,415,1288
2020,5.0,Italien,10070,43220
2020,5.0,Schweiz und Liechtenstein,35,65
2020,5.0,Österreich,291,983
2020,6.0,Andere Länder,4780,20239
2020,6.0,Beneluxstaaten,2728,9494
2020,6.0,Deutschland,96836,395318
2020,6.0,Italien,94281,306171
2020,6.0,Schweiz und Liechtenstein,10071,37025
2020,6.0,Österreich,6867,17585
2020,7.0,Andere Länder,23374,83087
2020,7.0,Beneluxstaaten,24928,113032
2020,7.0,Deutschland,285611,1429223
2020,7.0,Italien,371296,1793478
2020,7.0,Schweiz und Liechtenstein,40030,183319
2020,7.0,Österreich,24938,73268
2020,8.0,Andere Länder,29465,100274
2020,8.0,Beneluxstaaten,21556,93783
2020,8.0,Deutschland,355432,1681973
2020,8.0,Italien,661759,3553136
2020,8.0,Schweiz und Liechtenstein,26599,104511
2020,8.0,Österreich,28293,81055
2020,9.0,Andere Länder,19922,68919
2020,9.0,Beneluxstaaten,20468,74850
2020,9.0,Deutschland,370997,1884124
2020,9.0,Italien,192058,701075
2020,9.0,Schweiz und Liechtenstein,48749,196551
2020,9.0,Österreich,33325,99608
2020,10.0,Andere Länder,9286,40959
2020,10.0,Beneluxstaaten,3758,13112
2020,10.0,Deutschland,167352,892479
2020,10.0,Italien,102049,262772
2020,10.0,Schweiz und Liechtenstein,47173,223835
2020,10.0,Österreich,25209,75583
2020,11.0,Andere Länder,2119,18137
2020,11.0,Beneluxstaaten,170,765
2020,11.0,Deutschland,1667,9902
2020,11.0,Italien,14369,64246
2020,11.0,Schweiz und Liechtenstein,936,5122
2020,11.0,Österreich,1197,4231
2020,12.0,Andere Länder,2869,16918
2020,12.0,Beneluxstaaten,193,691
2020,12.0,Deutschland,1644,8074
2020,12.0,Italien,26243,79622
2020,12.0,Schweiz und Liechtenstein,456,1720
2020,12.0,Österreich,1078,3104
