Year,Month,Nationality,Arrivals,Present
2011,11.0,Beneluxstaaten,724,3455
2011,11.0,Deutschland,31641,155651
2011,11.0,Italien,69678,181216
2011,11.0,Schweiz und Liechtenstein,5512,22056
2011,11.0,Österreich,10642,24529
2011,12.0,Andere Länder,36679,176335
2011,12.0,Beneluxstaaten,8301,44047
2011,12.0,Deutschland,101522,455113
2011,12.0,Italien,319647,1044442
2011,12.0,Schweiz und Liechtenstein,7922,29367
2011,12.0,Österreich,7678,21995
2012,1.0,Andere Länder,73390,454115
2012,1.0,Beneluxstaaten,13180,81395
2012,1.0,Deutschland,172918,968425
2012,1.0,Italien,240078,1117853
2012,1.0,Schweiz und Liechtenstein,8232,41018
2012,1.0,Österreich,8553,32525
2012,2.0,Andere Länder,68356,419734
2012,2.0,Beneluxstaaten,31654,187402
2012,2.0,Deutschland,202752,1157299
2012,2.0,Italien,180269,788701
2012,2.0,Schweiz und Liechtenstein,10679,63173
2012,2.0,Österreich,14491,67997
2012,3.0,Andere Länder,48924,287548
2012,3.0,Beneluxstaaten,15228,84221
2012,3.0,Deutschland,182473,876025
2012,3.0,Italien,136513,573620
2012,3.0,Schweiz und Liechtenstein,10333,48481
2012,3.0,Österreich,15332,52099
2012,4.0,Andere Länder,12675,65385
2012,4.0,Beneluxstaaten,5749,49353
2012,4.0,Deutschland,187247,1001674
2012,4.0,Italien,73786,227278
2012,4.0,Schweiz und Liechtenstein,31295,130955
2012,4.0,Österreich,19926,60482
2012,5.0,Andere Länder,17070,62433
2012,5.0,Beneluxstaaten,7334,29011
2012,5.0,Deutschland,210418,998064
2012,5.0,Italien,71450,192886
2012,5.0,Schweiz und Liechtenstein,34035,155130
2012,5.0,Österreich,24091,70836
2012,6.0,Andere Länder,34070,120770
2012,6.0,Beneluxstaaten,17593,81757
2012,6.0,Deutschland,284820,1459018
2012,6.0,Italien,131121,412775
2012,6.0,Schweiz und Liechtenstein,29282,129337
2012,6.0,Österreich,28462,84049
2012,7.0,Andere Länder,56412,222470
2012,7.0,Beneluxstaaten,48768,258032
2012,7.0,Deutschland,300880,1733776
2012,7.0,Italien,281696,1573887
2012,7.0,Schweiz und Liechtenstein,43809,210403
2012,7.0,Österreich,28656,97767
2012,8.0,Andere Länder,37787,149414
2012,8.0,Beneluxstaaten,23857,147377
2012,8.0,Deutschland,319617,1853462
2012,8.0,Italien,472343,2992270
2012,8.0,Schweiz und Liechtenstein,26069,122469
2012,8.0,Österreich,29193,96635
2012,9.0,Andere Länder,33176,122071
2012,9.0,Beneluxstaaten,11835,59242
2012,9.0,Deutschland,399865,2091353
2012,9.0,Italien,123779,484715
2012,9.0,Schweiz und Liechtenstein,43288,178670
2012,9.0,Österreich,39479,125032
2012,10.0,Andere Länder,14174,64257
2012,10.0,Beneluxstaaten,2814,15032
2012,10.0,Deutschland,261848,1368806
2012,10.0,Italien,65041,185600
2012,10.0,Schweiz und Liechtenstein,40023,193922
2012,10.0,Österreich,37538,105517
