Year,Month,district_c,Season,Austria,Benelux countries,Germany,Italy,Other countries,Switzerland and Liechtenstein,Arrivals,District
2010,4.0,4,Spring,1258.0,5054.0,14321.0,22401.0,1900.0,982.0,45916.0,Pustertal
2010,4.0,5,Spring,602.0,1159.0,8369.0,10415.0,1214.0,662.0,22421.0,Salten-Schlern
2010,4.0,6,Spring,2758.0,581.0,20387.0,6275.0,1307.0,3322.0,34630.0,Uberetsch-Unterland
2010,4.0,7,Spring,1461.0,889.0,14455.0,6018.0,2000.0,3305.0,28128.0,Vinschgau
2010,4.0,8,Spring,524.0,216.0,7733.0,5827.0,831.0,446.0,15577.0,Wipptal
2010,5.0,1,Spring,2370.0,610.0,8127.0,7583.0,3063.0,1136.0,22889.0,Bozen
2010,5.0,2,Spring,8651.0,1722.0,95647.0,11579.0,2578.0,16418.0,136595.0,Burggrafenamt
2010,5.0,3,Spring,2363.0,905.0,23268.0,6991.0,1937.0,1424.0,36888.0,Eisacktal
2010,5.0,4,Spring,2366.0,1254.0,19330.0,16938.0,2269.0,1340.0,43497.0,Pustertal
2010,5.0,5,Spring,1589.0,545.0,17566.0,6216.0,1470.0,1234.0,28620.0,Salten-Schlern
2010,5.0,6,Spring,4945.0,890.0,34158.0,5645.0,1836.0,3646.0,51120.0,Uberetsch-Unterland
2010,5.0,7,Spring,1685.0,929.0,14618.0,3119.0,521.0,3624.0,24496.0,Vinschgau
2010,5.0,8,Spring,877.0,605.0,9999.0,4333.0,855.0,310.0,16979.0,Wipptal
2010,6.0,1,Summer,2090.0,734.0,6421.0,6650.0,4537.0,890.0,21322.0,Bozen
2010,6.0,2,Summer,7588.0,2923.0,78183.0,13456.0,3736.0,10755.0,116641.0,Burggrafenamt
2010,6.0,3,Summer,2052.0,1166.0,27334.0,8159.0,3076.0,968.0,42755.0,Eisacktal
2010,6.0,4,Summer,4158.0,3526.0,34519.0,38303.0,6681.0,2021.0,89208.0,Pustertal
2010,6.0,5,Summer,2746.0,1701.0,29189.0,16768.0,4324.0,2349.0,57077.0,Salten-Schlern
2010,6.0,6,Summer,5466.0,1425.0,29081.0,5778.0,2496.0,2495.0,46741.0,Uberetsch-Unterland
2010,6.0,7,Summer,1845.0,2020.0,17726.0,7578.0,2139.0,2902.0,34210.0,Vinschgau
2010,6.0,8,Summer,951.0,710.0,9247.0,4882.0,1289.0,375.0,17454.0,Wipptal
2010,7.0,1,Summer,1686.0,2191.0,7479.0,6950.0,7335.0,1121.0,26762.0,Bozen
2010,7.0,2,Summer,6761.0,8793.0,84732.0,23812.0,6023.0,15511.0,145632.0,Burggrafenamt
2010,7.0,3,Summer,2370.0,4573.0,28848.0,25607.0,4678.0,1436.0,67512.0,Eisacktal
2010,7.0,4,Summer,5446.0,10694.0,40029.0,155193.0,12763.0,3677.0,227802.0,Pustertal
2010,7.0,5,Summer,2471.0,3874.0,30970.0,60285.0,7578.0,2816.0,107994.0,Salten-Schlern
2010,7.0,6,Summer,4423.0,4404.0,31622.0,9641.0,5260.0,4548.0,59898.0,Uberetsch-Unterland
2010,7.0,7,Summer,2664.0,6452.0,24265.0,23258.0,3659.0,4593.0,64891.0,Vinschgau
2010,7.0,8,Summer,741.0,2556.0,10901.0,15557.0,2418.0,549.0,32722.0,Wipptal
2010,8.0,1,Summer,1932.0,1191.0,10111.0,7844.0,5957.0,888.0,27923.0,Bozen
2010,8.0,2,Summer,6873.0,5298.0,113209.0,45867.0,4885.0,9698.0,185830.0,Burggrafenamt
2010,8.0,3,Summer,2227.0,2063.0,29482.0,42210.0,2985.0,864.0,79831.0,Eisacktal
2010,8.0,4,Summer,4151.0,4024.0,36205.0,193766.0,7496.0,2003.0,247645.0,Pustertal
2010,8.0,5,Summer,2214.0,2082.0,33260.0,84668.0,4258.0,1797.0,128279.0,Salten-Schlern
2010,8.0,6,Summer,5050.0,2652.0,46251.0,12238.0,3515.0,2686.0,72392.0,Uberetsch-Unterland
2010,8.0,7,Summer,2759.0,3229.0,29044.0,35734.0,2307.0,3266.0,76339.0,Vinschgau
2010,8.0,8,Summer,854.0,1100.0,9927.0,24684.0,1277.0,360.0,38202.0,Wipptal
2010,9.0,1,Autumn,3232.0,621.0,9543.0,8367.0,5544.0,1619.0,28926.0,Bozen
2010,9.0,2,Autumn,8318.0,1942.0,109965.0,12854.0,3582.0,14618.0,151279.0,Burggrafenamt
2010,9.0,3,Autumn,3916.0,854.0,36237.0,9644.0,3141.0,2118.0,55910.0,Eisacktal
2010,9.0,4,Autumn,7454.0,2569.0,54597.0,40519.0,5734.0,3497.0,114370.0,Pustertal
2010,9.0,5,Autumn,3748.0,1352.0,42780.0,16152.0,4533.0,3175.0,71740.0,Salten-Schlern
2010,9.0,6,Autumn,6390.0,665.0,41105.0,5847.0,2384.0,3821.0,60212.0,Uberetsch-Unterland
2010,9.0,7,Autumn,2306.0,1372.0,27911.0,8264.0,1678.0,4260.0,45791.0,Vinschgau
2010,9.0,8,Autumn,1516.0,678.0,14030.0,7630.0,1424.0,451.0,25729.0,Wipptal
2010,10.0,1,Autumn,3351.0,170.0,7278.0,9086.0,3259.0,1490.0,24634.0,Bozen
2010,10.0,2,Autumn,13016.0,757.0,98017.0,16464.0,2319.0,17298.0,147871.0,Burggrafenamt
2010,10.0,3,Autumn,4527.0,426.0,34019.0,8487.0,1527.0,1965.0,50951.0,Eisacktal
2010,10.0,4,Autumn,5052.0,476.0,32806.0,18620.0,1451.0,2833.0,61238.0,Pustertal
2010,10.0,5,Autumn,2957.0,411.0,27941.0,9604.0,1482.0,2875.0,45270.0,Salten-Schlern
2010,10.0,6,Autumn,7763.0,306.0,33422.0,6313.0,1390.0,3946.0,53140.0,Uberetsch-Unterland
2010,10.0,7,Autumn,2352.0,222.0,15720.0,9832.0,1489.0,4085.0,33700.0,Vinschgau
2010,10.0,8,Autumn,1222.0,346.0,13648.0,5406.0,509.0,905.0,22036.0,Wipptal
2010,11.0,1,Autumn,1071.0,243.0,2627.0,11840.0,2065.0,455.0,18301.0,Bozen
2010,11.0,2,Autumn,2963.0,142.0,12208.0,20486.0,1513.0,2686.0,39998.0,Burggrafenamt
2010,11.0,3,Autumn,1704.0,88.0,5116.0,7095.0,520.0,301.0,14824.0,Eisacktal
2010,11.0,4,Autumn,1550.0,74.0,3678.0,9588.0,650.0,272.0,15812.0,Pustertal
2010,11.0,5,Autumn,479.0,41.0,2324.0,7025.0,373.0,166.0,10408.0,Salten-Schlern
2010,11.0,6,Autumn,1431.0,131.0,4124.0,6779.0,1118.0,377.0,13960.0,Uberetsch-Unterland
2010,11.0,7,Autumn,621.0,76.0,2944.0,5618.0,1319.0,412.0,10990.0,Vinschgau
2010,11.0,8,Autumn,787.0,52.0,2152.0,6131.0,386.0,149.0,9657.0,Wipptal
2010,12.0,1,Winter,748.0,81.0,2106.0,21332.0,1522.0,565.0,26354.0,Bozen
