,Year,district_c,Nationality,Arrivals,Present
163,2013,4,Benelux countries,51911,300237
164,2013,4,Germany,524935,2858163
165,2013,4,Italy,888890,4501899
166,2013,4,Other countries,158557,814149
167,2013,4,Switzerland and Liechtenstein,29659,128852
168,2013,5,Austria,29019,110487
169,2013,5,Benelux countries,36410,223600
170,2013,5,Germany,360612,2086889
171,2013,5,Italy,390117,1958761
172,2013,5,Other countries,107273,634818
173,2013,5,Switzerland and Liechtenstein,29324,141441
174,2013,6,Austria,39438,117363
175,2013,6,Benelux countries,13578,65335
176,2013,6,Germany,269333,1301204
177,2013,6,Italy,84169,285772
178,2013,6,Other countries,25134,111159
179,2013,6,Switzerland and Liechtenstein,30274,136312
180,2013,7,Austria,19294,58732
181,2013,7,Benelux countries,22751,126704
182,2013,7,Germany,241156,1176416
183,2013,7,Italy,116979,474009
184,2013,7,Other countries,29922,140766
185,2013,7,Switzerland and Liechtenstein,43952,168256
186,2013,8,Austria,12484,32442
187,2013,8,Benelux countries,12515,39650
188,2013,8,Germany,162017,617466
189,2013,8,Italy,120972,469455
190,2013,8,Other countries,17192,54625
191,2013,8,Switzerland and Liechtenstein,5403,20243
192,2014,1,Austria,23196,44296
193,2014,1,Benelux countries,7662,15713
194,2014,1,Germany,79377,167452
195,2014,1,Italy,111070,195830
196,2014,1,Other countries,52464,114084
197,2014,1,Switzerland and Liechtenstein,11329,26222
198,2014,2,Austria,72648,234897
199,2014,2,Benelux countries,25836,162239
200,2014,2,Germany,746957,4372204
201,2014,2,Italy,229092,671733
202,2014,2,Other countries,41839,189010
203,2014,2,Switzerland and Liechtenstein,137540,639953
204,2014,3,Austria,30125,79687
205,2014,3,Benelux countries,17445,71433
206,2014,3,Germany,326106,1515701
207,2014,3,Italy,177440,659069
208,2014,3,Other countries,43304,174667
209,2014,3,Switzerland and Liechtenstein,16621,70844
210,2014,4,Austria,56177,192591
211,2014,4,Benelux countries,49450,279674
212,2014,4,Germany,553272,2889327
213,2014,4,Italy,863268,4245939
214,2014,4,Other countries,168114,842440
215,2014,4,Switzerland and Liechtenstein,31279,136584
216,2014,5,Austria,31997,118184
217,2014,5,Benelux countries,37881,227277
218,2014,5,Germany,379584,2132174
219,2014,5,Italy,380586,1845979
220,2014,5,Other countries,116633,677454
221,2014,5,Switzerland and Liechtenstein,30890,147212
222,2014,6,Austria,40582,118273
223,2014,6,Benelux countries,13201,62312
224,2014,6,Germany,266935,1276724
225,2014,6,Italy,89470,263322
226,2014,6,Other countries,24305,107649
227,2014,6,Switzerland and Liechtenstein,30913,137347
228,2014,7,Austria,19618,57605
229,2014,7,Benelux countries,22854,126216
230,2014,7,Germany,246807,1182476
231,2014,7,Italy,112764,427805
232,2014,7,Other countries,31946,150206
233,2014,7,Switzerland and Liechtenstein,44351,166584
234,2014,8,Austria,11447,29562
235,2014,8,Benelux countries,12576,37800
236,2014,8,Germany,172138,609050
237,2014,8,Italy,127184,468338
238,2014,8,Other countries,19657,53434
239,2014,8,Switzerland and Liechtenstein,6159,23317
240,2015,1,Austria,23753,46147
241,2015,1,Benelux countries,7171,13543
242,2015,1,Germany,83238,184120
243,2015,1,Italy,115945,211589
244,2015,1,Other countries,50933,107165
245,2015,1,Switzerland and Liechtenstein,11345,23987
246,2015,2,Austria,79115,250205
247,2015,2,Benelux countries,26225,158873
248,2015,2,Germany,783492,4506914
249,2015,2,Italy,250031,733784
250,2015,2,Other countries,44532,192782
251,2015,2,Switzerland and Liechtenstein,150251,696180
252,2015,3,Austria,31592,81091
253,2015,3,Benelux countries,17388,69965
254,2015,3,Germany,329709,1516359
255,2015,3,Italy,197290,718252
256,2015,3,Other countries,44933,169618
257,2015,3,Switzerland and Liechtenstein,18195,77249
258,2015,4,Austria,56519,190122
259,2015,4,Benelux countries,52743,296046
260,2015,4,Germany,557853,2955442
261,2015,4,Italy,973033,4553544
262,2015,4,Other countries,181007,874093
263,2015,4,Switzerland and Liechtenstein,34311,150503
264,2015,5,Austria,31466,116115
265,2015,5,Benelux countries,40631,244815
266,2015,5,Germany,378090,2127534
267,2015,5,Italy,413787,1947243
268,2015,5,Other countries,120943,674399
269,2015,5,Switzerland and Liechtenstein,32616,156025
270,2015,6,Austria,43686,122259
271,2015,6,Benelux countries,12994,56841
272,2015,6,Germany,272631,1282568
273,2015,6,Italy,96128,288043
274,2015,6,Other countries,25981,104851
275,2015,6,Switzerland and Liechtenstein,31830,139112
276,2015,7,Austria,21362,62046
277,2015,7,Benelux countries,22439,120168
278,2015,7,Germany,252709,1190165
279,2015,7,Italy,122378,455770
280,2015,7,Other countries,36718,165384
281,2015,7,Switzerland and Liechtenstein,49072,183356
282,2015,8,Austria,12868,33512
283,2015,8,Benelux countries,13309,37401
284,2015,8,Germany,174626,615192
285,2015,8,Italy,139449,486513
286,2015,8,Other countries,22161,60541
287,2015,8,Switzerland and Liechtenstein,7471,27819
288,2016,1,Austria,25322,48736
289,2016,1,Benelux countries,7554,15570
290,2016,1,Germany,88586,197853
291,2016,1,Italy,124741,230376
292,2016,1,Other countries,55436,119034
293,2016,1,Switzerland and Liechtenstein,12677,27221
294,2016,2,Austria,87125,281560
295,2016,2,Benelux countries,28021,167516
296,2016,2,Germany,855666,4834664
297,2016,2,Italy,263648,762576
298,2016,2,Other countries,46694,197227
299,2016,2,Switzerland and Liechtenstein,164858,768090
300,2016,3,Austria,34460,87936
301,2016,3,Benelux countries,18543,71190
302,2016,3,Germany,361002,1631325
303,2016,3,Italy,207355,745208
304,2016,3,Other countries,52642,192212
305,2016,3,Switzerland and Liechtenstein,20759,88769
306,2016,4,Austria,60369,201113
307,2016,4,Benelux countries,54962,297634
308,2016,4,Germany,603853,3124423
309,2016,4,Italy,1032633,4767977
310,2016,4,Other countries,205588,963892
311,2016,4,Switzerland and Liechtenstein,39023,171437
312,2016,5,Austria,34333,123541
313,2016,5,Benelux countries,42848,251016
314,2016,5,Germany,413514,2283030
315,2016,5,Italy,443996,2059889
316,2016,5,Other countries,131696,699357
317,2016,5,Switzerland and Liechtenstein,35166,170194
318,2016,6,Austria,45201,129393
319,2016,6,Benelux countries,14719,61403
320,2016,6,Germany,300128,1387344
321,2016,6,Italy,101358,309603
322,2016,6,Other countries,28894,112816
323,2016,6,Switzerland and Liechtenstein,34049,148118
324,2016,7,Austria,24341,69455
325,2016,7,Benelux countries,25424,129717
326,2016,7,Germany,277514,1279226
327,2016,7,Italy,125802,464950
328,2016,7,Other countries,36293,163896
329,2016,7,Switzerland and Liechtenstein,50296,185880
330,2016,8,Austria,14293,35606
331,2016,8,Benelux countries,14518,39281
332,2016,8,Germany,184050,650847
333,2016,8,Italy,141568,505849
334,2016,8,Other countries,22123,64885
335,2016,8,Switzerland and Liechtenstein,8423,33760
336,2017,1,Austria,24625,50538
337,2017,1,Benelux countries,7389,14634
338,2017,1,Germany,93180,212728
339,2017,1,Italy,126377,236855
340,2017,1,Other countries,56912,122038
341,2017,1,Switzerland and Liechtenstein,12690,28084
342,2017,2,Austria,95259,302376
343,2017,2,Benelux countries,28866,165256
344,2017,2,Germany,898695,5000926
345,2017,2,Italy,273159,798508
346,2017,2,Other countries,48148,197841
347,2017,2,Switzerland and Liechtenstein,160799,741430
348,2017,3,Austria,37568,97946
349,2017,3,Benelux countries,19225,75753
350,2017,3,Germany,377482,1682650
351,2017,3,Italy,218945,791271
352,2017,3,Other countries,55727,204772
353,2017,3,Switzerland and Liechtenstein,22273,95168
354,2017,4,Austria,64094,210713
355,2017,4,Benelux countries,58160,316146
356,2017,4,Germany,608913,3134910
357,2017,4,Italy,1101135,5009684
358,2017,4,Other countries,226858,1045646
359,2017,4,Switzerland and Liechtenstein,41599,183781
360,2017,5,Austria,34297,120372
361,2017,5,Benelux countries,44377,260370
362,2017,5,Germany,415339,2292425
363,2017,5,Italy,457827,2116103
364,2017,5,Other countries,142995,737558
365,2017,5,Switzerland and Liechtenstein,36222,173468
366,2017,6,Austria,48195,137509
367,2017,6,Benelux countries,15840,65224
368,2017,6,Germany,318043,1466709
369,2017,6,Italy,106025,334338
370,2017,6,Other countries,30927,117648
371,2017,6,Switzerland and Liechtenstein,32609,142316
372,2017,7,Austria,25531,71794
373,2017,7,Benelux countries,25631,129772
374,2017,7,Germany,289993,1346157
375,2017,7,Italy,127127,465008
376,2017,7,Other countries,39200,173749
377,2017,7,Switzerland and Liechtenstein,52667,197660
378,2017,8,Austria,15210,41377
379,2017,8,Benelux countries,13582,35890
380,2017,8,Germany,188322,644081
381,2017,8,Italy,152555,548589
382,2017,8,Other countries,22792,67611
383,2017,8,Switzerland and Liechtenstein,8980,34721
384,2018,1,Austria,26966,52499
385,2018,1,Benelux countries,6972,13759
386,2018,1,Germany,91061,203536
387,2018,1,Italy,136163,259863
388,2018,1,Other countries,64707,138312
389,2018,1,Switzerland and Liechtenstein,12006,25442
390,2018,2,Austria,97390,307734
391,2018,2,Benelux countries,29506,164075
392,2018,2,Germany,902129,5004956
393,2018,2,Italy,278423,816397
394,2018,2,Other countries,54102,212476
395,2018,2,Switzerland and Liechtenstein,157564,723178
396,2018,3,Austria,36656,94145
397,2018,3,Benelux countries,19026,76540
398,2018,3,Germany,392199,1755954
399,2018,3,Italy,221886,783932
400,2018,3,Other countries,60176,224797
401,2018,3,Switzerland and Liechtenstein,22969,95644
402,2018,4,Austria,72371,235070
403,2018,4,Benelux countries,59545,325037
404,2018,4,Germany,649001,3345480
405,2018,4,Italy,1095133,5005149
406,2018,4,Other countries,257676,1164133
407,2018,4,Switzerland and Liechtenstein,45110,197023
408,2018,5,Austria,37112,130111
409,2018,5,Benelux countries,49937,290782
410,2018,5,Germany,433791,2398285
411,2018,5,Italy,459293,2122948
412,2018,5,Other countries,159673,797244
413,2018,5,Switzerland and Liechtenstein,37300,178804
414,2018,6,Austria,48866,140259
415,2018,6,Benelux countries,14001,59596
416,2018,6,Germany,319435,1488493
417,2018,6,Italy,110346,342553
418,2018,6,Other countries,34016,130122
419,2018,6,Switzerland and Liechtenstein,34063,148006
420,2018,7,Austria,27769,76029
421,2018,7,Benelux countries,25182,122725
422,2018,7,Germany,295477,1364787
423,2018,7,Italy,128130,473511
424,2018,7,Other countries,40117,178551
425,2018,7,Switzerland and Liechtenstein,54264,200335
426,2018,8,Austria,16215,42341
427,2018,8,Benelux countries,13700,36837
428,2018,8,Germany,205947,707731
429,2018,8,Italy,153041,559370
430,2018,8,Other countries,22960,73160
431,2018,8,Switzerland and Liechtenstein,10414,41559
432,2019,1,Austria,27013,52234
433,2019,1,Benelux countries,7320,14388
434,2019,1,Germany,93151,209294
435,2019,1,Italy,133168,275245
436,2019,1,Other countries,70597,142762
437,2019,1,Switzerland and Liechtenstein,12528,26540
438,2019,2,Austria,98532,305650
439,2019,2,Benelux countries,30574,165814
440,2019,2,Germany,925816,5048898
441,2019,2,Italy,279902,810668
442,2019,2,Other countries,59390,222043
443,2019,2,Switzerland and Liechtenstein,154779,706467
444,2019,3,Austria,40527,106626
445,2019,3,Benelux countries,20535,84291
446,2019,3,Germany,394491,1758983
447,2019,3,Italy,224579,776857
448,2019,3,Other countries,71550,245366
449,2019,3,Switzerland and Liechtenstein,23167,96427
450,2019,4,Austria,77610,252463
451,2019,4,Benelux countries,64017,342264
452,2019,4,Germany,665838,3410707
453,2019,4,Italy,1098285,4926249
454,2019,4,Other countries,292510,1286196
455,2019,4,Switzerland and Liechtenstein,48850,213559
456,2019,5,Austria,39170,137440
457,2019,5,Benelux countries,50229,288242
458,2019,5,Germany,435427,2383621
459,2019,5,Italy,455565,2080694
460,2019,5,Other countries,184768,876999
461,2019,5,Switzerland and Liechtenstein,38314,183866
462,2019,6,Austria,51398,147258
463,2019,6,Benelux countries,14249,59506
464,2019,6,Germany,321951,1495397
465,2019,6,Italy,110727,333886
466,2019,6,Other countries,35636,125827
467,2019,6,Switzerland and Liechtenstein,33689,146729
468,2019,7,Austria,27955,76543
469,2019,7,Benelux countries,25914,125100
470,2019,7,Germany,305905,1401303
471,2019,7,Italy,130511,488693
472,2019,7,Other countries,43480,192934
473,2019,7,Switzerland and Liechtenstein,56317,207448
474,2019,8,Austria,17075,43981
475,2019,8,Benelux countries,12502,36161
476,2019,8,Germany,215141,718433
477,2019,8,Italy,148457,532331
478,2019,8,Other countries,23875,76556
479,2019,8,Switzerland and Liechtenstein,11328,45615
480,2020,1,Austria,8154,15108
481,2020,1,Benelux countries,3817,7681
482,2020,1,Germany,41502,97461
483,2020,1,Italy,72013,189584
484,2020,1,Other countries,14693,34400
485,2020,1,Switzerland and Liechtenstein,5216,11279
486,2020,2,Austria,39491,127438
487,2020,2,Benelux countries,16458,88023
488,2020,2,Germany,458296,2562077
489,2020,2,Italy,194703,686352
490,2020,2,Other countries,18006,81662
491,2020,2,Switzerland and Liechtenstein,80867,378421
492,2020,3,Austria,15660,43910
493,2020,3,Benelux countries,12466,51529
494,2020,3,Germany,206166,984228
495,2020,3,Italy,178860,692192
496,2020,3,Other countries,27158,119159
497,2020,3,Switzerland and Liechtenstein,14150,65074
498,2020,4,Austria,40377,142330
499,2020,4,Benelux countries,39060,196243
500,2020,4,Germany,379600,2028625
501,2020,4,Italy,891765,4293017
502,2020,4,Other countries,140336,755445
503,2020,4,Switzerland and Liechtenstein,28460,132075
504,2020,5,Austria,17818,66978
505,2020,5,Benelux countries,33783,193204
506,2020,5,Germany,251199,1413735
507,2020,5,Italy,384553,1859793
508,2020,5,Other countries,81699,483388
509,2020,5,Switzerland and Liechtenstein,23165,114796
510,2020,6,Austria,18785,57406
511,2020,6,Benelux countries,6690,27416
512,2020,6,Germany,159006,790580
513,2020,6,Italy,69830,260178
514,2020,6,Other countries,10172,56498
515,2020,6,Switzerland and Liechtenstein,16474,75047
516,2020,7,Austria,13756,40485
517,2020,7,Benelux countries,12878,66202
518,2020,7,Germany,170061,796957
519,2020,7,Italy,123716,490950
520,2020,7,Other countries,19209,104491
521,2020,7,Switzerland and Liechtenstein,34015,131396
522,2020,8,Austria,7947,20096
523,2020,8,Benelux countries,7429,20767
524,2020,8,Germany,117061,401457
525,2020,8,Italy,102044,395669
526,2020,8,Other countries,10258,42478
527,2020,8,Switzerland and Liechtenstein,6827,30622
