Year,Month,District,Nationality,Arrivals,Present
2010,1.0,Franzensfeste,Schweiz und Liechtenstein,4,4
2010,1.0,Franzensfeste,Österreich,8,11
2010,1.0,Freienfeld,Andere Länder,238,509
2010,1.0,Freienfeld,Beneluxstaaten,35,35
2010,1.0,Freienfeld,Deutschland,2034,5481
2010,1.0,Freienfeld,Italien,593,2330
2010,1.0,Freienfeld,Schweiz und Liechtenstein,1,3
2010,1.0,Freienfeld,Österreich,23,55
2010,1.0,Gais,Andere Länder,385,1933
2010,1.0,Gais,Beneluxstaaten,283,1416
2010,1.0,Gais,Deutschland,2818,10656
2010,1.0,Gais,Italien,1690,7423
2010,1.0,Gais,Schweiz und Liechtenstein,9,47
2010,1.0,Gais,Österreich,72,279
2010,1.0,Gargazon,Andere Länder,7,103
2010,1.0,Gargazon,Beneluxstaaten,1,2
2010,1.0,Gargazon,Deutschland,23,413
2010,1.0,Gargazon,Italien,132,984
2010,1.0,Gargazon,Österreich,14,23
2010,1.0,Glurns,Beneluxstaaten,4,4
2010,1.0,Glurns,Deutschland,19,167
2010,1.0,Glurns,Italien,79,327
2010,1.0,Glurns,Schweiz und Liechtenstein,2,10
2010,1.0,Glurns,Österreich,9,23
2010,1.0,Graun im Vinschgau,Andere Länder,294,1236
2010,1.0,Graun im Vinschgau,Beneluxstaaten,407,2483
2010,1.0,Graun im Vinschgau,Deutschland,6422,33241
2010,1.0,Graun im Vinschgau,Italien,1260,4660
2010,1.0,Graun im Vinschgau,Schweiz und Liechtenstein,502,1588
2010,1.0,Graun im Vinschgau,Österreich,91,284
2010,1.0,Gsies,Andere Länder,242,1088
2010,1.0,Gsies,Beneluxstaaten,34,205
2010,1.0,Gsies,Deutschland,1183,6647
2010,1.0,Gsies,Italien,2978,13904
2010,1.0,Gsies,Schweiz und Liechtenstein,43,153
2010,1.0,Gsies,Österreich,112,413
2010,1.0,Hafling,Andere Länder,471,2861
2010,1.0,Hafling,Beneluxstaaten,53,351
2010,1.0,Hafling,Deutschland,1811,11145
2010,1.0,Hafling,Italien,1297,4863
2010,1.0,Hafling,Schweiz und Liechtenstein,190,785
2010,1.0,Hafling,Österreich,98,327
2010,1.0,Innichen,Andere Länder,942,5155
2010,1.0,Innichen,Beneluxstaaten,106,539
2010,1.0,Innichen,Deutschland,865,4500
2010,1.0,Innichen,Italien,8989,46749
2010,1.0,Innichen,Schweiz und Liechtenstein,39,192
2010,1.0,Innichen,Österreich,279,1024
2010,1.0,Jenesien,Andere Länder,2,10
2010,1.0,Jenesien,Beneluxstaaten,2,29
2010,1.0,Jenesien,Deutschland,64,612
2010,1.0,Jenesien,Italien,143,795
2010,1.0,Jenesien,Schweiz und Liechtenstein,4,31
2010,1.0,Jenesien,Österreich,4,8
2010,1.0,Kaltern a.d. Weinstr.,Andere Länder,16,305
2010,1.0,Kaltern a.d. Weinstr.,Beneluxstaaten,4,10
2010,1.0,Kaltern a.d. Weinstr.,Deutschland,43,1622
2010,1.0,Kaltern a.d. Weinstr.,Italien,172,1595
2010,1.0,Kaltern a.d. Weinstr.,Schweiz und Liechtenstein,3,19
2010,1.0,Kaltern a.d. Weinstr.,Österreich,8,28
2010,1.0,Karneid,Andere Länder,19,172
2010,1.0,Karneid,Deutschland,58,503
2010,1.0,Karneid,Italien,197,701
2010,1.0,Karneid,Schweiz und Liechtenstein,3,9
2010,1.0,Karneid,Österreich,9,46
2010,1.0,Kastelbell-Tschars,Andere Länder,20,40
2010,1.0,Kastelbell-Tschars,Deutschland,11,100
2010,1.0,Kastelbell-Tschars,Italien,36,236
2010,1.0,Kastelbell-Tschars,Schweiz und Liechtenstein,4,13
