Year,Month,District,Arrivals,Present
2011,6.0,Val Venosta,44580,175450
2011,6.0,Valle Isarco,51384,218118
2011,7.0,Alta Valle Isarco,34742,151402
2011,7.0,Bolzano,28728,60087
2011,7.0,Burggrafenamt,161915,927873
2011,7.0,Oltradige-Bassa Ates.,65027,309457
2011,7.0,Salto-Schiliar,117069,694425
2011,7.0,Val Pusteria,232449,1294477
2011,7.0,Val Venosta,69446,315531
2011,7.0,Valle Isarco,71816,347655
2011,8.0,Alta Valle Isarco,40104,209548
2011,8.0,Bolzano,29250,67759
2011,8.0,Burggrafenamt,181725,1140831
2011,8.0,Oltradige-Bassa Ates.,69932,390160
2011,8.0,Salto-Schiliar,129911,902128
2011,8.0,Val Pusteria,251278,1698882
2011,8.0,Val Venosta,79218,417805
2011,8.0,Valle Isarco,77358,451653
2011,9.0,Alta Valle Isarco,28729,102895
2011,9.0,Bolzano,30374,68467
2011,9.0,Burggrafenamt,159232,950619
2011,9.0,Oltradige-Bassa Ates.,65871,306104
2011,9.0,Salto-Schiliar,81237,440435
2011,9.0,Val Pusteria,126568,629679
2011,9.0,Val Venosta,55482,237104
2011,9.0,Valle Isarco,60439,265550
2011,10.0,Alta Valle Isarco,24504,78669
2011,10.0,Bolzano,25613,58778
2011,10.0,Burggrafenamt,153590,794657
2011,10.0,Oltradige-Bassa Ates.,52199,217456
2011,10.0,Salto-Schiliar,48269,216193
2011,10.0,Val Pusteria,63332,243751
2011,10.0,Val Venosta,36821,146360
2011,10.0,Valle Isarco,53572,205437
2011,11.0,Alta Valle Isarco,9167,25311
2011,11.0,Bolzano,17282,36581
2011,11.0,Burggrafenamt,34870,144926
2011,11.0,Oltradige-Bassa Ates.,13691,47724
2011,11.0,Salto-Schiliar,10494,39104
2011,11.0,Val Pusteria,14208,46126
2011,11.0,Val Venosta,10337,38593
2011,11.0,Valle Isarco,15104,46593
2011,12.0,Alta Valle Isarco,33220,107251
2011,12.0,Bolzano,25451,53589
2011,12.0,Burggrafenamt,62529,188873
2011,12.0,Oltradige-Bassa Ates.,21979,62604
2011,12.0,Salto-Schiliar,89268,371474
2011,12.0,Val Pusteria,176379,725920
2011,12.0,Val Venosta,25209,103368
2011,12.0,Valle Isarco,47714,158220
2012,1.0,Alta Valle Isarco,30999,128614
2012,1.0,Bolzano,15956,35339
2012,1.0,Burggrafenamt,28292,139518
2012,1.0,Oltradige-Bassa Ates.,11906,50144
2012,1.0,Salto-Schiliar,117400,689947
2012,1.0,Val Pusteria,233386,1262432
2012,1.0,Val Venosta,29175,161798
2012,1.0,Valle Isarco,49237,227539
2012,2.0,Alta Valle Isarco,32427,139577
2012,2.0,Bolzano,11915,24610
2012,2.0,Burggrafenamt,23585,108431
2012,2.0,Oltradige-Bassa Ates.,8796,42744
2012,2.0,Salto-Schiliar,120026,704964
2012,2.0,Val Pusteria,223663,1228904
2012,2.0,Val Venosta,35496,191160
2012,2.0,Valle Isarco,52293,243916
2012,3.0,Alta Valle Isarco,26152,92985
2012,3.0,Bolzano,16208,32808
2012,3.0,Burggrafenamt,41430,157239
2012,3.0,Oltradige-Bassa Ates.,15896,58968
2012,3.0,Salto-Schiliar,84112,474035
2012,3.0,Val Pusteria,151746,784274
2012,3.0,Val Venosta,36552,170989
2012,3.0,Valle Isarco,36707,150696
2012,4.0,Alta Valle Isarco,15621,56274
2012,4.0,Bolzano,20574,49584
2012,4.0,Burggrafenamt,124511,614276
2012,4.0,Oltradige-Bassa Ates.,42269,169066
2012,4.0,Salto-Schiliar,24276,134983
2012,4.0,Val Pusteria,43551,244851
2012,4.0,Val Venosta,31624,156094
2012,4.0,Valle Isarco,28252,109999
2012,5.0,Alta Valle Isarco,17550,50721
2012,5.0,Bolzano,24354,54541
2012,5.0,Burggrafenamt,128050,684217
2012,5.0,Oltradige-Bassa Ates.,53370,206461
2012,5.0,Salto-Schiliar,33170,124108
2012,5.0,Val Pusteria,41380,148379
2012,5.0,Val Venosta,26877,96767
2012,5.0,Valle Isarco,39647,143166
2012,6.0,Alta Valle Isarco,22454,72444
2012,6.0,Bolzano,23725,53110
2012,6.0,Burggrafenamt,133623,738992
2012,6.0,Oltradige-Bassa Ates.,53447,233439
2012,6.0,Salto-Schiliar,75244,339845
2012,6.0,Val Pusteria,122093,473040
2012,6.0,Val Venosta,43172,163247
2012,6.0,Valle Isarco,51590,213589
2012,7.0,Alta Valle Isarco,34850,142664
2012,7.0,Bolzano,28484,57414
2012,7.0,Burggrafenamt,160320,949220
2012,7.0,Oltradige-Bassa Ates.,63581,318699
2012,7.0,Salto-Schiliar,113271,690173
2012,7.0,Val Pusteria,217172,1251494
2012,7.0,Val Venosta,69984,320710
2012,7.0,Valle Isarco,72559,365961
2012,8.0,Alta Valle Isarco,41566,214380
2012,8.0,Bolzano,28962,64431
2012,8.0,Burggrafenamt,184549,1125907
2012,8.0,Oltradige-Bassa Ates.,73207,390873
2012,8.0,Salto-Schiliar,143916,935203
2012,8.0,Val Pusteria,270683,1752195
2012,8.0,Val Venosta,82629,417614
2012,8.0,Valle Isarco,83354,461024
2012,9.0,Alta Valle Isarco,30736,104065
2012,9.0,Bolzano,29293,60566
2012,9.0,Burggrafenamt,171788,949528
2012,9.0,Oltradige-Bassa Ates.,66302,301614
2012,9.0,Salto-Schiliar,90667,463080
2012,9.0,Val Pusteria,143565,669367
2012,9.0,Val Venosta,53773,232779
2012,9.0,Valle Isarco,65298,280084
2012,10.0,Alta Valle Isarco,21498,75759
2012,10.0,Bolzano,22550,51821
2012,10.0,Burggrafenamt,140085,781655
2012,10.0,Oltradige-Bassa Ates.,50751,216498
2012,10.0,Salto-Schiliar,48956,229756
2012,10.0,Val Pusteria,56132,237054
2012,10.0,Val Venosta,32515,141188
2012,10.0,Valle Isarco,48951,199403
2012,11.0,Alta Valle Isarco,11223,28064
2012,11.0,Bolzano,17477,32697
2012,11.0,Burggrafenamt,42495,152774
2012,11.0,Oltradige-Bassa Ates.,14312,47180
2012,11.0,Salto-Schiliar,13283,42574
2012,11.0,Val Pusteria,20577,60878
2012,11.0,Val Venosta,12652,43716
2012,11.0,Valle Isarco,15792,45823
2012,12.0,Alta Valle Isarco,35644,120581
2012,12.0,Bolzano,25569,50523
2012,12.0,Burggrafenamt,62609,192684
2012,12.0,Oltradige-Bassa Ates.,19804,60113
2012,12.0,Salto-Schiliar,95403,396719
2012,12.0,Val Pusteria,185492,771548
2012,12.0,Val Venosta,27178,111562
2012,12.0,Valle Isarco,49882,167145
2013,1.0,Alta Valle Isarco,28489,125337
2013,1.0,Bolzano,14672,28791
2013,1.0,Burggrafenamt,25254,124049
2013,1.0,Oltradige-Bassa Ates.,8819,42068
2013,1.0,Salto-Schiliar,103914,638751
2013,1.0,Val Pusteria,206587,1161367
2013,1.0,Val Venosta,24714,145922
2013,1.0,Valle Isarco,43736,210737
2013,2.0,Alta Valle Isarco,33624,142050
2013,2.0,Bolzano,11379,20259
2013,2.0,Burggrafenamt,24709,111113
2013,2.0,Oltradige-Bassa Ates.,10138,45146
2013,2.0,Salto-Schiliar,126310,712381
2013,2.0,Val Pusteria,229680,1222990
2013,2.0,Val Venosta,35321,190659
2013,2.0,Valle Isarco,54301,248567
2013,3.0,Alta Valle Isarco,30565,113397
2013,3.0,Bolzano,18348,34238
2013,3.0,Burggrafenamt,62587,258203
2013,3.0,Oltradige-Bassa Ates.,19520,72675
2013,3.0,Salto-Schiliar,106823,572094
2013,3.0,Val Pusteria,182257,914632
2013,3.0,Val Venosta,41362,200603
2013,3.0,Valle Isarco,45329,187683
2013,4.0,Alta Valle Isarco,13159,38066
2013,4.0,Bolzano,18197,38596
2013,4.0,Burggrafenamt,92843,462489
2013,4.0,Oltradige-Bassa Ates.,30343,113618
2013,4.0,Salto-Schiliar,11730,64665
2013,4.0,Val Pusteria,22172,130368
2013,4.0,Val Venosta,21254,101004
2013,4.0,Valle Isarco,19790,72506
2013,5.0,Alta Valle Isarco,21414,64309
2013,5.0,Bolzano,25578,55015
2013,5.0,Burggrafenamt,144871,758981
2013,5.0,Oltradige-Bassa Ates.,56021,226678
2013,5.0,Salto-Schiliar,31876,128663
2013,5.0,Val Pusteria,41011,152869
2013,5.0,Val Venosta,30448,112054
2013,5.0,Valle Isarco,41086,157387
2013,6.0,Alta Valle Isarco,21319,67519
2013,6.0,Bolzano,24596,47794
2013,6.0,Burggrafenamt,125624,681315
2013,6.0,Oltradige-Bassa Ates.,50225,210710
2013,6.0,Salto-Schiliar,71647,314018
2013,6.0,Val Pusteria,112017,435289
2013,6.0,Val Venosta,36401,134011
2013,6.0,Valle Isarco,49416,198285
2013,7.0,Alta Valle Isarco,38116,148843
2013,7.0,Bolzano,29287,61120
2013,7.0,Burggrafenamt,155791,931628
2013,7.0,Oltradige-Bassa Ates.,62028,309867
