,Year,Month,District,Category,Arrivals,Present
103,2010,2.0,Val Venosta,1-2 Star Hotel,3609,18368
104,2010,2.0,Val Venosta,3 Star Hotel,13223,72926
105,2010,2.0,Val Venosta,4-5 Star Hotel,6200,32229
106,2010,2.0,Val Venosta,Other,262,833
107,2010,2.0,Val Venosta,Campings,153,1058
108,2010,2.0,Val Venosta,Private Lodging,1818,11498
109,2010,2.0,Val Venosta,Private Lodging,40,266
110,2010,2.0,Val Venosta,Residence,5541,36270
111,2010,2.0,Val Venosta,Agricaltural Lodging,1561,7949
112,2010,2.0,Alta Valle Isarco,1-2 Star Hotel,4579,17549
113,2010,2.0,Alta Valle Isarco,3 Star Hotel,10568,44492
114,2010,2.0,Alta Valle Isarco,4-5 Star Hotel,10563,48038
115,2010,2.0,Alta Valle Isarco,Other,1213,7279
116,2010,2.0,Alta Valle Isarco,Campings,14,54
117,2010,2.0,Alta Valle Isarco,Private Lodging,832,4022
118,2010,2.0,Alta Valle Isarco,Residence,1247,8677
119,2010,2.0,Alta Valle Isarco,Agricaltural Lodging,1083,6148
120,2010,2.0,Oltradige-Bassa Ates.,1-2 Star Hotel,1367,7875
121,2010,2.0,Oltradige-Bassa Ates.,3 Star Hotel,6894,24655
122,2010,2.0,Oltradige-Bassa Ates.,4-5 Star Hotel,578,1300
123,2010,2.0,Oltradige-Bassa Ates.,Other,68,184
124,2010,2.0,Oltradige-Bassa Ates.,Private Lodging,154,3096
125,2010,2.0,Oltradige-Bassa Ates.,Residence,157,4814
126,2010,2.0,Oltradige-Bassa Ates.,Agricaltural Lodging,207,2365
127,2010,3.0,Bolzano,1-2 Star Hotel,1331,7027
128,2010,3.0,Bolzano,3 Star Hotel,5587,9835
129,2010,3.0,Bolzano,4-5 Star Hotel,7763,13632
130,2010,3.0,Bolzano,Other,912,1839
131,2010,3.0,Bolzano,Campings,230,722
132,2010,3.0,Bolzano,Private Lodging,26,751
133,2010,3.0,Bolzano,Agricaltural Lodging,64,429
134,2010,3.0,Burgraviato,1-2 Star Hotel,1695,9461
135,2010,3.0,Burgraviato,3 Star Hotel,13073,51553
136,2010,3.0,Burgraviato,4-5 Star Hotel,17708,68465
137,2010,3.0,Burgraviato,Other,919,3384
138,2010,3.0,Burgraviato,Campings,1275,5376
139,2010,3.0,Burgraviato,Private Lodging,996,6662
140,2010,3.0,Burgraviato,Residence,2678,17636
141,2010,3.0,Burgraviato,Agricaltural Lodging,1244,6789
142,2010,3.0,Valle Isarco,1-2 Star Hotel,5325,26876
143,2010,3.0,Valle Isarco,3 Star Hotel,16134,69899
144,2010,3.0,Valle Isarco,4-5 Star Hotel,10799,45862
145,2010,3.0,Valle Isarco,Other,1755,5550
146,2010,3.0,Valle Isarco,Campings,174,303
147,2010,3.0,Valle Isarco,Private Lodging,788,5622
148,2010,3.0,Valle Isarco,Residence,831,10485
149,2010,3.0,Valle Isarco,Agricaltural Lodging,1326,7738
150,2010,3.0,Val Pusteria,1-2 Star Hotel,20412,119015
151,2010,3.0,Val Pusteria,3 Star Hotel,53792,299117
152,2010,3.0,Val Pusteria,4-5 Star Hotel,42232,218487
153,2010,3.0,Val Pusteria,Other,2776,11498
154,2010,3.0,Val Pusteria,Campings,2761,17705
155,2010,3.0,Val Pusteria,Private Lodging,10525,73441
156,2010,3.0,Val Pusteria,Private Lodging,491,3317
157,2010,3.0,Val Pusteria,Residence,15953,114942
158,2010,3.0,Val Pusteria,Agricaltural Lodging,5879,38757
159,2010,3.0,Salto-Sciliar,1-2 Star Hotel,6138,34870
160,2010,3.0,Salto-Sciliar,3 Star Hotel,31371,191402
161,2010,3.0,Salto-Sciliar,4-5 Star Hotel,32337,194047
162,2010,3.0,Salto-Sciliar,Other,881,2876
163,2010,3.0,Salto-Sciliar,Campings,346,2313
164,2010,3.0,Salto-Sciliar,Private Lodging,9746,69597
165,2010,3.0,Salto-Sciliar,Residence,7830,59936
166,2010,3.0,Salto-Sciliar,Agricaltural Lodging,2033,12366
167,2010,3.0,Val Venosta,1-2 Star Hotel,3428,17381
168,2010,3.0,Val Venosta,3 Star Hotel,12839,68892
169,2010,3.0,Val Venosta,4-5 Star Hotel,5931,31422
170,2010,3.0,Val Venosta,Other,1133,2682
171,2010,3.0,Val Venosta,Campings,565,2100
172,2010,3.0,Val Venosta,Private Lodging,1531,9947
173,2010,3.0,Val Venosta,Private Lodging,25,220
174,2010,3.0,Val Venosta,Residence,4655,31033
